MegaMek Equipment Extended Database
This file can be regenerated with java -jar MegaMek.jar -eqedb /Users/ianbellomy/Sites/megamek/megamek/extended-equipment.txt
Type,Name,Tech Base,Rules,Tech Rating,Static Tech Level,Introduction Date,Prototype Date,Production Date,Common Date,Extinction Date,Re-Introduction Date,Tonnage,CriticalSlots,Cost,BV,RulesRef,Alias
W,"Large VSP Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","3070(FW,WB)","3070(FW,WB)","3072(FW,WB)","3080","-","-",9.0,4,465000.0,123.0,"321, TO","ISLargeVSPLaser,ISLVSPL,ISLargeVariableSpeedLaser,ISLargeVSP,"
W,"Binary Laser (Blazer) Cannon","Inner Sphere","IS_TW_Non_Box/IS_Experimental","D/X-E-E-D","Standard","2812(FW)","2812(FW)","-","3077","-","-",9.0,4,200000.0,222.0,"319, TO","Binary Laser (Blazer) Cannon,IS Binary Laser Cannon,ISBlazer,ISBinaryLaserCannon,ISBinaryLaser,Blazer Cannon,"
W,"Light Blazer","Inner Sphere","IS_Unofficial","D/X-E-E-D","Unofficial","2852(FW)","2852(FW)","-","3077","-","-",1.5,2,15000.0,148.0,"Unofficial","Light Blazer,ISLightBlazerr,"
W,"Bombast Laser","Inner Sphere","IS_Advanced/IS_Experimental","D/X-X-E-E","Advanced","3064(LC)","3064(LC)","3085(LC)","-","-","-",7.0,3,200000.0,137.0,"319, TO","Bombast Laser,IS Bombast Laser,ISBombastLaser,"
W,"ER Large Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-F-D-C","Standard","~2820(CNC)","~2820(CNC)","2825(CNC)","2830","-","-",4.0,1,200000.0,248.0,"226, TM","CLERLargeLaser,Clan ER Large Laser,"
W,"Heavy Large Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-X-D-D","Standard","3057(CBR,CSA)","3057(CBR,CSA)","3058(CSA)","3059","-","-",4.0,3,250000.0,244.0,"226, TM","CLHeavyLargeLaser,Clan Large Heavy Laser,"
W,"Large Pulse Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-C","Standard","2820(CCY)","2820(CCY)","2824(CCY)","2831","-","-",6.0,2,175000.0,265.0,"226, TM","CLLargePulseLaser,Clan Pulse Large Laser,Clan Large Pulse Laser,"
W,"ER Large Pulse Laser","Clan","Clan_TW/Clan_Advanced","F/X-X-E-D","Standard","3057(CWF)","-","3057(CWF)","3082","-","-",6.0,3,400000.0,272.0,"320, TO","CLERLargePulseLaser,Clan ER Pulse Large Laser,Clan ER Large Pulse Laser,"
W,"ER Medium Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-E-D-C","Standard","~2822(CJF)","~2822(CJF)","2824(CJF)","2830","-","-",1.0,1,80000.0,108.0,"226, TM","CLERMediumLaser,Clan ER Medium Laser,"
W,"Prototype ER Medium Laser (CP)","Clan","Clan_Experimental","E/X-D-X-X","Experimental","~2819(CSJ)","~2819(CSJ)","-","-","~2824","-",1.5,1,80000.0,62.0,"97, IO","CLERMediumLaserPrototype,Prototype ER Medium Laser,"
W,"Heavy Medium Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-X-D-D","Standard","3057(CBR,CSA)","3057(CBR,CSA)","3058(CSA)","3059","-","-",1.0,2,100000.0,76.0,"226, TM","CLHeavyMediumLaser,Clan Medium Heavy Laser,"
W,"Medium Pulse Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-C","Standard","~2825(CJF,CGB)","~2825(CJF,CGB)","2827(CJF)","2831","-","-",2.0,1,60000.0,111.0,"226, TM","CLMediumPulseLaser,Clan Pulse Med Laser,Clan Medium Pulse Laser,"
W,"ER Medium Pulse Laser","Clan","Clan_TW/Clan_Advanced","F/X-X-E-D","Standard","3057(CWF)","-","3057(CWF)","3082","-","-",2.0,2,150000.0,117.0,"320, TO","CLERMediumPulseLaser,Clan ER Pulse Med Laser,Clan ER Medium Pulse Laser,"
W,"ER Small Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-E-D-C","Standard","~2822(CJF)","~2822(CJF)","2825(CJF)","2830","-","-",0.5,1,11250.0,31.0,"226, TM","CLERSmallLaser,Clan ER Small Laser,"
W,"Prototype ER Small Laser (CP)","Clan","Clan_Experimental","E/X-D-X-X","Experimental","~2819(CSJ)","~2819(CSJ)","-","-","~2825","-",0.5,1,11250.0,17.0,"97, IO","CLERSmallLaserPrototype,Prototype ER Small Laser,"
W,"Small Pulse Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-C","Standard","~2825(CJF,CGB)","~2825(CJF,CGB)","2829(CGB)","2831","-","-",1.0,1,16000.0,24.0,"226, TM","CLSmallPulseLaser,Clan Pulse Small Laser,Clan Small Pulse Laser,"
W,"ER Small Pulse Laser","Clan","Clan_TW/Clan_Advanced","F/X-X-E-D","Standard","3057(CWF)","-","3057(CWF)","3082","-","-",1.5,1,30000.0,36.0,"320, TO","CLERSmallPulseLaser,Clan ER Pulse Small Laser,Clan ER Small Pulse Laser,ClanERSmallPulseLaser,"
W,"Heavy Small Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-X-D-D","Standard","3057(CBR,CSA)","3057(CBR,CSA)","3058(CSA)","3059","-","-",0.5,1,20000.0,15.0,"226, TM","CLHeavySmallLaser,Clan Small Heavy Laser,"
W,"ER Micro Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-X-D-C","Standard","~3059(CSJ)","~3059(CSJ)","3060(CSJ)","3061","-","-",0.25,1,10000.0,7.0,"226, TM","CLERMicroLaser,Clan ER Micro Laser,"
W,"Micro Pulse Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-X-D-C","Standard","~3059(CSJ)","~3059(CSJ)","3060(CSJ)","3061","-","-",0.5,1,12500.0,12.0,"226, TM","CLMicroPulseLaser,Clan Micro Pulse Laser,"
W,"Improved Heavy Large Laser","Clan","Clan_TW/Clan_Advanced","F/X-X-D-D","Standard","3069","-","3069","3085","-","-",4.0,3,350000.0,296.0,"321, TO","CLImprovedHeavyLargeLaser,Clan Improved Large Heavy Laser,"
W,"Improved Heavy Medium Laser","Clan","Clan_TW/Clan_Advanced","F/X-X-D-D","Standard","3069","-","3069","3085","-","-",1.0,2,150000.0,93.0,"321, TO","CLImprovedMediumHeavyLaser,Clan Improved Heavy Medium Laser,CLImprovedHeavyMediumLaser,"
W,"Improved Heavy Small Laser","Clan","Clan_TW/Clan_Advanced","F/X-X-D-D","Standard","3069","-","3069","3085","-","-",0.5,1,30000.0,19.0,"321, TO","CLImprovedSmallHeavyLaser,CLImprovedHeavySmallLaser,Clan Improved Small Heavy Laser,"
W,"Large Chemical Laser","Clan","Clan_TW/Clan_Advanced","E/X-X-E-E","Standard","3059(CHH)","-","3059(CHH)","3083","-","-",5.0,2,75000.0,99.0,"320, TO","CLLargeChemicalLaser,CLLargeChemLaser,Large Chem Laser,"
W,"Medium Chemical Laser","Clan","Clan_TW/Clan_Advanced","E/X-X-E-E","Standard","3059(CHH)","-","3059(CHH)","3083","-","-",1.0,1,30000.0,37.0,"320, TO","CLMediumChemicalLaser,CLMediumChemLaser,Medium Chem Laser,"
W,"Small Chemical Laser","Clan","Clan_TW/Clan_Advanced","E/X-X-E-E","Standard","3059(CHH)","-","3059(CHH)","3083","-","-",0.5,1,10000.0,7.0,"320, TO","CLSmallChemicalLaser,CLSmallChemLaser,Small Chem Laser,"
W,"PPC","Inner Sphere","IS_Box_Set/IS_Advanced/IS_Experimental","D/C-C-C-C","Introductory","~2440(TH)","~2440(TH)","2460(TH)","2500","2825","-",7.0,3,200000.0,176.0,"234, TM","PPC,Particle Cannon,IS PPC,ISPPC,"
W,"Primitive Prototype PPC","Inner Sphere","IS_Experimental","C/F-X-X-X","Experimental","2439(TA)","2439(TA)","-","-","-","-",7.0,3,200000.0,176.0,"118, IO","Primitive Prototype PPC,Particle Cannon Primitive,IS PPCp,ISPPCp,"
W,"ER PPC","Inner Sphere","IS_Advanced/IS_Experimental/IS_Unofficial","E/E-F(F*)-D-C","Standard","~2740(TH)","~2740(TH)","2751(TH)","3042","2860","3037(DC)",7.0,3,300000.0,229.0,"234, TM","ISERPPC,IS ER PPC,"
W,"ER PPC","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-F-D-C","Standard","~2823(CSR)","~2823(CSR)","2826(CSR)","2828","-","-",6.0,2,300000.0,412.0,"233, TM","CLERPPC,Clan ER PPC,"
W,"Snub-Nose PPC","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/F-X-F-D","Standard","2695(TH)","2695(TH)","~2784(TH)","3068","2790","3067(DC,FW)",6.0,2,300000.0,165.0,"234, TM","ISSNPPC,ISSnubNosedPPC,"
W,"Light PPC","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","3064(DC)","3064(DC)","3067(DC,FW)","3068","-","-",3.0,2,150000.0,88.0,"234, TM","Light PPC,ISLightPPC,ISLPPC,"
W,"Heavy PPC","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-C","Standard","3062(DC)","3062(DC)","3067(DC,FW)","3068","-","-",10.0,4,250000.0,317.0,"234, TM","Heavy PPC,ISHeavyPPC,ISHPPC,"
W,"Kinslaughter H ER PPC","Inner Sphere","IS_Unofficial","E/E-F(F*)-D-C","Unofficial","~2740(TH)","~2740(TH)","2751(TH)","-","2860","-",7.0,3,450000.0,229.0,"Unofficial","ISKinHERPPC,IS Kinslaughter H ER PPC,"
W,"Support PPC","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","D/X-F-D-C","Standard","3046","3046","3053","3056","-","-",0.25,2,14000.0,14.0,"267, TM","ISBASupportPPC,IS BA Support PPC,"
W,"Support PPC","Clan","Clan_TW","D/X-F-D-C","Standard","2950","-","-","2950","-","-",0.24,2,14000.0,14.0,"267, TM","BA Support PPC,CLBASupportPPC,"
W,"Flamer","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","C/X-C-A-A","Standard","2820(CFM)","2820(CFM)","2827(CFM)","2828","-","-",0.5,1,7500.0,6.0,"218, TM","CLFlamer,Clan Flamer,"
W,"Flamer","Inner Sphere","IS_Box_Set","C/B-B-B-A","Introductory","ES","ES","ES","ES","2830","-",1.0,1,7500.0,6.0,"218, TM","Flamer,IS Flamer,ISFlamer,"
W,"Flamer (Vehicle)","Inner Sphere","IS_Box_Set","B/A-A-B-A","Introductory","PS","PS","PS","PS","-","-",0.5,1,7500.0,5.0,"218, TM","Flamer (Vehicle),IS Vehicle Flamer,ISVehicleFlamer,CLVehicleFlamer,Clan Vehicle Flamer,Vehicle Flamer,"
W,"Heavy Flamer","Clan","Clan_TW/Clan_Advanced","C/X-X-E-D","Standard","3068(CJF)","-","3068(CJF)","~3079","-","-",1.5,1,11250.0,15.0,"312, TO","CLHeavyFlamer,Clan Heavy Flamer,CL Heavy Flamer,CLHeavyFlamer,"
W,"Heavy Flamer","Inner Sphere","IS_TW_Non_Box/IS_Advanced","C/X-X-E-D","Standard","3068(LC)","-","3068(LC)","~3079","-","-",1.5,1,11250.0,15.0,"312, TO","Heavy Flamer,IS Heavy Flamer,ISHeavyFlamer,"
W,"ER Flamer","Inner Sphere","IS_TW_Non_Box/IS_Advanced","D/X-X-E-D","Standard","~3070(FS)","-","~3070(FS)","3081","-","-",1.0,1,15000.0,16.0,"312, TO","ER Flamer,IS ER Flamer,ISERFlamer,"
W,"ER Flamer","Clan","Clan_TW/Clan_Advanced","D/X-X-E-D","Standard","3067(CJF)","-","3067(CJF)","~3081","-","-",1.0,1,15000.0,16.0,"312, TO","CLERFlamer,CL ER Flamer,"
W,"AC/2","Inner Sphere","IS_Box_Set/IS_Advanced/IS_Experimental","C/C-D-D-D","Introductory","2290(TA)","2290(TA)","2300(TA)","2305","~2850","-",6.0,1,75000.0,37.0,"208, TM","Autocannon/2,IS Auto Cannon/2,Auto Cannon/2,AutoCannon/2,AC/2,ISAC2,IS Autocannon/2,"
W,"AC/5","Inner Sphere","IS_Box_Set/IS_Advanced/IS_Experimental","C/C-C-D-D","Introductory","2240(TA)","2240(TA)","2250(TA)","2255","~2850","-",8.0,4,125000.0,70.0,"208, TM","Autocannon/5,IS Auto Cannon/5,Auto Cannon/5,AC/5,AutoCannon/5,ISAC5,IS Autocannon/5,"
W,"AC/10","Inner Sphere","IS_Box_Set/IS_Advanced/IS_Experimental","C/C-D-D-D","Introductory","2443(TH)","2443(TH)","2460(TH)","2465","~2850","-",12.0,7,200000.0,123.0,"208, TM","Autocannon/10,IS Auto Cannon/10,Auto Cannon/10,AutoCannon/10,AC/10,ISAC10,IS Autocannon/10,"
W,"AC/20","Inner Sphere","IS_Box_Set/IS_Advanced/IS_Experimental","C/D-E-D-D","Introductory","2488(LC)","2488(LC)","2500(LC)","2502","~2850","-",14.0,10,300000.0,178.0,"208, TM","Autocannon/20,IS Auto Cannon/20,Auto Cannon/20,AutoCannon/20,ISAC20,IS Autocannon/20,"
W,"ProtoMech AC/2","Clan","Clan_TW/Clan_Advanced","F/X-X-F-E","Standard","~3070(CBS)","-","~3070(CBS)","3073","-","-",3.5,2,95000.0,34.0,"286, TO","CLProtoMechAC2,Clan ProtoMech AC/2,"
W,"ProtoMech AC/4","Clan","Clan_TW/Clan_Advanced","F/X-X-F-E","Standard","~3070(CBS)","-","~3070(CBS)","3073","-","-",4.5,3,133000.0,49.0,"286, TO","CLProtoMechAC4,Clan ProtoMech AC/4,"
W,"ProtoMech AC/8","Clan","Clan_TW/Clan_Advanced","F/X-X-F-E","Standard","~3070(CBS)","-","~3070(CBS)","3073","-","-",5.5,4,175000.0,66.0,"286, TO","CLProtoMechAC8,Clan ProtoMech AC/8,"
W,"Primitive Prototype Autocannon/2","Inner Sphere","IS_Experimental","C/F-X-X-X","Experimental","2290(TA)","2290(TA)","-","-","-","-",6.0,1,75000.0,37.0,"118, IO","Autocannon/2p,IS Auto Cannon/2 Primitive,Auto Cannon/2 Primitive,AutoCannon/2 Primitive,AC/2p,ISAC2p,IS Autocannon/2 Primitive,"
W,"Primitive Prototype Autocannon/5","Inner Sphere","IS_Experimental","C/F-X-X-X","Experimental","2240(TA)","2240(TA)","-","-","-","-",8.0,4,125000.0,70.0,"118, IO","Autocannon/5 Primitive,IS Auto Cannon/5 Primitive,Auto Cannon/5 Primitive,AC/5p,AutoCannon/5 Primitive,ISAC5p,IS Autocannon/5 Primitive,"
W,"Primitive Prototype Autocannon/10","Inner Sphere","IS_Experimental","C/F-X-X-X","Experimental","2450(TA)","2450(TA)","-","-","-","-",12.0,7,200000.0,123.0,"118, IO","Autocannon/10 Primitive,IS Auto Cannon/10 Primitive,Auto Cannon/10 Primitive,AutoCannon/10 Primitive,AC/10p,ISAC10p,IS Autocannon/10 Primitive,"
W,"Primitive Prototype Autocannon/20","Inner Sphere","IS_Experimental","C/F-X-X-X","Experimental","2488(TA)","2488(TA)","-","-","-","-",14.0,10,300000.0,178.0,"118, IO","Autocannon/20 Primitive,IS Auto Cannon/20 Primitive,Auto Cannon/20 Primitive,AutoCannon/20 Primitive,ISAC20p,IS Autocannon/20 Primitive,"
W,"Ultra AC/2","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FW)","~3055(FW)","3057(FW)","3060","-","-",7.0,3,120000.0,56.0,"208, TM","ISUltraAC2,IS Ultra AC/2,"
W,"Ultra AC/5","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/D-F(F*)-D-D","Standard","~2635(TH)","~2635(TH)","2640(TH)","3040","2915","3035(FS)",9.0,5,200000.0,112.0,"208, TM","ISUltraAC5,IS Ultra AC/5,"
W,"Prototype Ultra Autocannon/5","Inner Sphere","IS_Experimental","E/X-F(F*)-X-X","Experimental","3029(FS)","3029(FS)","-","-","~3035","-",9.0,6,1000000.0,112.0,"104, IO","ISUltraAC5Prototype,IS Ultra AC/5 Prototype,"
W,"Ultra AC/10","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FW)","~3055(FW)","3057(FW)","3060","-","-",13.0,7,320000.0,210.0,"208, TM","ISUltraAC10,IS Ultra AC/10,"
W,"Ultra AC/20","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3057(FW)","~3057(FW)","3060(LC,FW)","3061","-","-",15.0,10,480000.0,281.0,"208, TM","ISUltraAC20,IS Ultra AC/20,"
W,"Ultra AC/2 (THB)","Inner Sphere","IS_Unofficial","E/X-X-E-D","Unofficial","~3055(FS)","~3055(FS)","3058(FS)","3060","-","-",7.0,3,150000.0,67.0,"THB (Unofficial)","ISUltraAC2 (THB),IS Ultra AC/2 (THB),"
W,"Ultra AC/10 (THB)","Inner Sphere","IS_Unofficial","E/X-X-E-D","Unofficial","~3055(FS)","~3055(FS)","3058(FS)","3060","-","-",13.0,7,400000.0,245.0,"THB (Unofficial)","ISUltraAC10 (THB),IS Ultra AC/10 (THB),"
W,"Ultra AC/20 (THB)","Inner Sphere","IS_Unofficial","E/X-X-E-D","Unofficial","~3057(FW)","~3057(FW)","3060(LC,FW)","3061","-","-",15.0,11,600000.0,335.0,"THB (Unofficial)","ISUltraAC20 (THB),IS Ultra AC/20 (THB),"
W,"Ultra AC/2","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-D-C","Standard","~2825(Clan)","~2825(Clan)","~2827(Clan)","2829","-","-",5.0,2,120000.0,62.0,"208, TM","CLUltraAC2,Clan Ultra AC/2,"
W,"Prototype Ultra Autocannon/2","Clan","Clan_Experimental","F/X-D-D-C","Experimental","~2820(CSF)","~2820(CSF)","-","-","~2827","-",7.0,4,120000.0,56.0,"97, IO","CLUltraAC2Prototype,"
W,"Ultra AC/5","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-D-C","Standard","~2825(Clan)","~2825(Clan)","~2827(Clan)","2829","-","-",7.0,3,200000.0,122.0,"208, TM","CLUltraAC5,Clan Ultra AC/5,"
W,"Ultra AC/10","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-D-C","Standard","~2825(Clan)","~2825(Clan)","~2827(Clan)","2829","-","-",10.0,4,320000.0,210.0,"208, TM","CLUltraAC10,Clan Ultra AC/10,"
W,"Prototype Ultra Autocannon/10","Clan","Clan_Experimental","F/X-D-D-C","Experimental","~2820(CSF)","~2820(CSF)","-","-","~2825","-",13.0,8,320000.0,210.0,"97, IO","CLUltraAC10Prototype,"
W,"Ultra AC/20","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-D-C","Standard","~2825(Clan)","~2825(Clan)","~2827(Clan)","2829","-","-",12.0,8,480000.0,335.0,"208, TM","CLUltraAC20,Clan Ultra AC/20,"
W,"Prototype Ultra Autocannon/20","Clan","Clan_Experimental","F/X-D-D-C","Experimental","~2820(CSF)","~2820(CSF)","-","-","~2825","-",15.0,11,480000.0,281.0,"97, IO","CLUltraAC20Prototype,"
W,"LB 2-X AC","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3058(FS)","3060","-","-",6.0,4,150000.0,42.0,"207, TM","ISLBXAC2,IS LB 2-X AC,"
W,"LB 5-X AC","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3058(FS)","3060","-","-",8.0,5,250000.0,83.0,"207, TM","ISLBXAC5,IS LB 5-X AC,"
W,"LB 10-X AC","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/E-F(F*)-D-C","Standard","2590(TH)","2590(TH)","2595(TH)","3040","2840","3035(FS)",11.0,6,400000.0,148.0,"207, TM","ISLBXAC10,IS LB 10-X AC,"
W,"Prototype LB 10-X Autocannon","Inner Sphere","IS_Experimental","E/F-F-X-X","Experimental","2590(TH)","2590(TH)","-","-","~2595","~3035(FS,LC)",11.0,7,2000000.0,148.0,"71, IO","ISLBXAC10Prototype,IS LB 10-X AC Prototype,"
W,"LB 20-X AC","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3058(FS)","3060","-","-",14.0,11,600000.0,237.0,"207, TM","ISLBXAC20,IS LB 20-X AC,"
W,"LB 2-X AC","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2824","~2824","~2826(CCY)","2828","-","-",5.0,3,150000.0,47.0,"207, TM","CLLBXAC2,Clan LB 2-X AC,"
W,"Prototype LB 2-X Autocannon","Clan","Clan_Experimental","F/X-D-X-X","Experimental","~2820(CGS)","~2820(CGS)","-","-","~2826","-",6.0,5,150000.0,42.0,"97, IO","CLLBXAC2Prototype,"
